[info] welcome to sbt 1.12.11 (Eclipse Adoptium Java 21.0.11)
[info] loading global plugins from /Users/mariocallisto/.sbt/1.0/plugins
[info] loading settings for project uniform-tilings-build from plugins.sbt...
[info] loading project definition from /Users/mariocallisto/IdeaProjects/scala-tessella/uniform-tilings/project
[info] loading settings for project root from build.sbt...
[info] set current project to uniform-tilings (in build file:/Users/mariocallisto/IdeaProjects/scala-tessella/uniform-tilings/)
[info] compiling 1 Scala source to /Users/mariocallisto/IdeaProjects/scala-tessella/uniform-tilings/core/target/scala-3.8.4/classes ...
[info] done compiling
  [relaxed maxSize=24] 2761s  dsets=1222891 (442/s)  distinct=1186
  [relaxed maxSize=24] 2776s  dsets=1224722 (441/s)  distinct=1190
  [relaxed maxSize=24] 2791s  dsets=1236526 (443/s)  distinct=1193
  [relaxed maxSize=24] 2806s  dsets=1242305 (442/s)  distinct=1193
  [relaxed maxSize=24] 2821s  dsets=1250095 (443/s)  distinct=1195
  [relaxed maxSize=24] 2836s  dsets=1255383 (442/s)  distinct=1195
  [relaxed maxSize=24] 2851s  dsets=1259430 (441/s)  distinct=1196
  [relaxed maxSize=24] 2866s  dsets=1262306 (440/s)  distinct=1203
  [relaxed maxSize=24] 2881s  dsets=1275965 (442/s)  distinct=1206
  [relaxed maxSize=24] 2896s  dsets=1293350 (446/s)  distinct=1210
  [relaxed maxSize=24] 2911s  dsets=1309112 (449/s)  distinct=1211
  [relaxed maxSize=24] 2926s  dsets=1323225 (452/s)  distinct=1243
  [relaxed maxSize=24] 2941s  dsets=1338182 (455/s)  distinct=1264
  [relaxed maxSize=24] 2956s  dsets=1345854 (455/s)  distinct=1280
  [relaxed maxSize=24] 2971s  dsets=1351823 (454/s)  distinct=1302
  [relaxed maxSize=24] 2986s  dsets=1362783 (456/s)  distinct=1308
  [relaxed maxSize=24] 3001s  dsets=1373419 (457/s)  distinct=1315
  [relaxed maxSize=24] 3016s  dsets=1380941 (457/s)  distinct=1315
  [relaxed maxSize=24] 3031s  dsets=1384516 (456/s)  distinct=1315
  [relaxed maxSize=24] 3046s  dsets=1386294 (455/s)  distinct=1316
  [relaxed maxSize=24] 3061s  dsets=1390220 (454/s)  distinct=1316
  [relaxed maxSize=24] 3076s  dsets=1400101 (455/s)  distinct=1317
  [relaxed maxSize=24] 3091s  dsets=1406031 (454/s)  distinct=1322
  [relaxed maxSize=24] 3106s  dsets=1409852 (453/s)  distinct=1322
  [relaxed maxSize=24] 3121s  dsets=1414227 (453/s)  distinct=1324
  [relaxed maxSize=24] 3136s  dsets=1416539 (451/s)  distinct=1324
  [relaxed maxSize=24] 3151s  dsets=1422907 (451/s)  distinct=1324
  [relaxed maxSize=24] 3166s  dsets=1426396 (450/s)  distinct=1324
  [relaxed maxSize=24] 3181s  dsets=1433480 (450/s)  distinct=1327
  [relaxed maxSize=24] 3196s  dsets=1434723 (448/s)  distinct=1328
  [relaxed maxSize=24] 3211s  dsets=1443923 (449/s)  distinct=1329
  [relaxed maxSize=24] 3226s  dsets=1456249 (451/s)  distinct=1331
  [relaxed maxSize=24] 3241s  dsets=1461155 (450/s)  distinct=1331
  [relaxed maxSize=24] 3256s  dsets=1463420 (449/s)  distinct=1332
  [relaxed maxSize=24] 3271s  dsets=1466645 (448/s)  distinct=1332
  [relaxed maxSize=24] 3286s  dsets=1471233 (447/s)  distinct=1332
  [relaxed maxSize=24] 3301s  dsets=1481037 (448/s)  distinct=1333
  [relaxed maxSize=24] 3316s  dsets=1489011 (449/s)  distinct=1334
  [relaxed maxSize=24] 3331s  dsets=1495360 (448/s)  distinct=1339
  [relaxed maxSize=24] 3346s  dsets=1498476 (447/s)  distinct=1340
  [relaxed maxSize=24] 3361s  dsets=1504238 (447/s)  distinct=1340
  [relaxed maxSize=24] 3376s  dsets=1507121 (446/s)  distinct=1346
  [relaxed maxSize=24] 3391s  dsets=1512651 (446/s)  distinct=1346
  [relaxed maxSize=24] 3406s  dsets=1517208 (445/s)  distinct=1346
  [relaxed maxSize=24] 3421s  dsets=1519341 (444/s)  distinct=1351
  [relaxed maxSize=24] 3436s  dsets=1519999 (442/s)  distinct=1352
  [relaxed maxSize=24] 3451s  dsets=1521491 (440/s)  distinct=1352
  [relaxed maxSize=24] 3466s  dsets=1524187 (439/s)  distinct=1352
  [relaxed maxSize=24] 3481s  dsets=1528746 (439/s)  distinct=1353
  [relaxed maxSize=24] 3496s  dsets=1529696 (437/s)  distinct=1358
  [relaxed maxSize=24] 3511s  dsets=1531661 (436/s)  distinct=1359
  [relaxed maxSize=24] 3526s  dsets=1532241 (434/s)  distinct=1359
  [relaxed maxSize=24] 3541s  dsets=1534240 (433/s)  distinct=1359
  [relaxed maxSize=24] 3556s  dsets=1535686 (431/s)  distinct=1359
  [relaxed maxSize=24] 3571s  dsets=1537203 (430/s)  distinct=1359
  [relaxed maxSize=24] 3586s  dsets=1539437 (429/s)  distinct=1359
  [relaxed maxSize=24] 3601s  dsets=1540275 (427/s)  distinct=1359
  [relaxed maxSize=24] 3616s  dsets=1541535 (426/s)  distinct=1359
  [relaxed maxSize=24] 3631s  dsets=1542494 (424/s)  distinct=1359
  [relaxed maxSize=24] 3646s  dsets=1543996 (423/s)  distinct=1359
  [relaxed maxSize=24] 3661s  dsets=1545105 (422/s)  distinct=1359
  [relaxed maxSize=24] 3676s  dsets=1545330 (420/s)  distinct=1359
  [relaxed maxSize=24] 3691s  dsets=1545800 (418/s)  distinct=1359
  [relaxed maxSize=24] 3706s  dsets=1546594 (417/s)  distinct=1359
  [relaxed maxSize=24] 3721s  dsets=1546840 (415/s)  distinct=1359
  [relaxed maxSize=24] 3736s  dsets=1546877 (414/s)  distinct=1359
