[info] welcome to sbt 1.12.11 (Eclipse Adoptium Java 21.0.11)
[info] loading global plugins from /Users/mariocallisto/.sbt/1.0/plugins
[info] loading settings for project uniform-tilings-build from plugins.sbt...
[info] loading project definition from /Users/mariocallisto/IdeaProjects/scala-tessella/uniform-tilings/project
[info] loading settings for project root from build.sbt...
[info] set current project to uniform-tilings (in build file:/Users/mariocallisto/IdeaProjects/scala-tessella/uniform-tilings/)
[warn] Getting the hostname MacBook-Pro-di-Mario.local was slow (5002.237045 ms). This is likely because the computer's hostname is not set. You can set the hostname with the command: scutil --set HostName "$(scutil --get LocalHostName).local".
  [relaxed maxSize=24] 2762s  dsets=1368700 (495/s)  distinct=13643
  [relaxed maxSize=24] 2777s  dsets=1375031 (495/s)  distinct=13678
  [relaxed maxSize=24] 2792s  dsets=1376603 (493/s)  distinct=13689
  [relaxed maxSize=24] 2807s  dsets=1380375 (491/s)  distinct=13729
  [relaxed maxSize=24] 2822s  dsets=1385234 (490/s)  distinct=13797
  [relaxed maxSize=24] 2837s  dsets=1387639 (489/s)  distinct=13829
  [relaxed maxSize=24] 2852s  dsets=1389170 (487/s)  distinct=13834
  [relaxed maxSize=24] 2867s  dsets=1389964 (484/s)  distinct=13835
  [relaxed maxSize=24] 2882s  dsets=1390501 (482/s)  distinct=13837
  [relaxed maxSize=24] 2897s  dsets=1390730 (480/s)  distinct=13839
  [relaxed maxSize=24] 2912s  dsets=1390844 (477/s)  distinct=13839
  [relaxed maxSize=24] 2927s  dsets=1390951 (475/s)  distinct=13840
  [relaxed maxSize=24] 2942s  dsets=1391391 (472/s)  distinct=13841
  [relaxed maxSize=24] 2957s  dsets=1391708 (470/s)  distinct=13842
  [relaxed maxSize=24] 2972s  dsets=1391843 (468/s)  distinct=13842
  [relaxed maxSize=24] 2987s  dsets=1392603 (466/s)  distinct=13865
  [relaxed maxSize=24] 3002s  dsets=1394429 (464/s)  distinct=13947
  [relaxed maxSize=24] 3017s  dsets=1398212 (463/s)  distinct=14010
  [relaxed maxSize=24] 3032s  dsets=1398991 (461/s)  distinct=14030
  [relaxed maxSize=24] 3047s  dsets=1399597 (459/s)  distinct=14054
  [relaxed maxSize=24] 3062s  dsets=1399835 (457/s)  distinct=14069
  [relaxed maxSize=24] 3077s  dsets=1400409 (455/s)  distinct=14097
  [relaxed maxSize=24] 3092s  dsets=1400727 (452/s)  distinct=14106
  [relaxed maxSize=24] 3107s  dsets=1400907 (450/s)  distinct=14132
  [relaxed maxSize=24] 3122s  dsets=1401167 (448/s)  distinct=14132
  [relaxed maxSize=24] 3137s  dsets=1401344 (446/s)  distinct=14134
  [relaxed maxSize=24] 3152s  dsets=1401523 (444/s)  distinct=14139
  [relaxed maxSize=24] 3167s  dsets=1401670 (442/s)  distinct=14139
  [relaxed maxSize=24] 3182s  dsets=1401764 (440/s)  distinct=14142
  [relaxed maxSize=24] 3197s  dsets=1401872 (438/s)  distinct=14142
  [relaxed maxSize=24] 3212s  dsets=1402043 (436/s)  distinct=14143
  [relaxed maxSize=24] 3227s  dsets=1402392 (434/s)  distinct=14144
  [relaxed maxSize=24] 3242s  dsets=1402529 (432/s)  distinct=14144
  [relaxed maxSize=24] 3257s  dsets=1402921 (430/s)  distinct=14144
  [relaxed maxSize=24] 3272s  dsets=1403304 (428/s)  distinct=14144
  [relaxed maxSize=24] 3287s  dsets=1403439 (426/s)  distinct=14145
  [relaxed maxSize=24] 3302s  dsets=1403655 (425/s)  distinct=14145
  [relaxed maxSize=24] 3317s  dsets=1403803 (423/s)  distinct=14145
  [relaxed maxSize=24] 3332s  dsets=1406908 (422/s)  distinct=14157
  [relaxed maxSize=24] 3347s  dsets=1407669 (420/s)  distinct=14158
  [relaxed maxSize=24] 3362s  dsets=1407965 (418/s)  distinct=14158
  [relaxed maxSize=24] 3377s  dsets=1408315 (416/s)  distinct=14161
  [relaxed maxSize=24] 3392s  dsets=1409194 (415/s)  distinct=14163
  [relaxed maxSize=24] 3407s  dsets=1409743 (413/s)  distinct=14167
  [relaxed maxSize=24] 3422s  dsets=1410079 (412/s)  distinct=14172
  [relaxed maxSize=24] 3437s  dsets=1410486 (410/s)  distinct=14172
  [relaxed maxSize=24] 3452s  dsets=1410720 (408/s)  distinct=14173
  [relaxed maxSize=24] 3467s  dsets=1411035 (406/s)  distinct=14175
  [relaxed maxSize=24] 3482s  dsets=1411255 (405/s)  distinct=14180
  [relaxed maxSize=24] 3497s  dsets=1411372 (403/s)  distinct=14180
  [relaxed maxSize=24] 3512s  dsets=1411621 (401/s)  distinct=14180
  [relaxed maxSize=24] 3527s  dsets=1413259 (400/s)  distinct=14208
  [relaxed maxSize=24] 3542s  dsets=1414729 (399/s)  distinct=14238
  [relaxed maxSize=24] 3557s  dsets=1415590 (397/s)  distinct=14260
  [relaxed maxSize=24] 3572s  dsets=1416026 (396/s)  distinct=14264
  [relaxed maxSize=24] 3587s  dsets=1417160 (395/s)  distinct=14339
  [relaxed maxSize=24] 3602s  dsets=1419036 (393/s)  distinct=14366
  [relaxed maxSize=24] 3617s  dsets=1419889 (392/s)  distinct=14456
  [relaxed maxSize=24] 3632s  dsets=1421104 (391/s)  distinct=14524
  [relaxed maxSize=24] 3647s  dsets=1422398 (389/s)  distinct=14529
  [relaxed maxSize=24] 3663s  dsets=1424392 (388/s)  distinct=14536
  [relaxed maxSize=24] 3678s  dsets=1426013 (387/s)  distinct=14583
  [relaxed maxSize=24] 3693s  dsets=1427401 (386/s)  distinct=14614
  [relaxed maxSize=24] 3708s  dsets=1427952 (385/s)  distinct=14617
  [relaxed maxSize=24] 3723s  dsets=1431198 (384/s)  distinct=14660
  [relaxed maxSize=24] 3738s  dsets=1433460 (383/s)  distinct=14678
  [relaxed maxSize=24] 3753s  dsets=1434148 (382/s)  distinct=14681
  [relaxed maxSize=24] 3768s  dsets=1435871 (381/s)  distinct=14695
  [relaxed maxSize=24] 3783s  dsets=1436727 (379/s)  distinct=14701
  [relaxed maxSize=24] 3798s  dsets=1438199 (378/s)  distinct=14707
  [relaxed maxSize=24] 3813s  dsets=1440180 (377/s)  distinct=14713
  [relaxed maxSize=24] 3828s  dsets=1441282 (376/s)  distinct=14715
  [relaxed maxSize=24] 3843s  dsets=1446256 (376/s)  distinct=14776
  [relaxed maxSize=24] 3858s  dsets=1448084 (375/s)  distinct=14788
  [relaxed maxSize=24] 3873s  dsets=1450163 (374/s)  distinct=14813
  [relaxed maxSize=24] 3888s  dsets=1451990 (373/s)  distinct=14856
  [relaxed maxSize=24] 3903s  dsets=1453465 (372/s)  distinct=14863
  [relaxed maxSize=24] 3918s  dsets=1453884 (371/s)  distinct=14866
